customer_id,last_order,frequency,monetary,total_spent,archetype_true,recency_days,segment,segment_label,clv_12m
0,2025-03-30,1,61.38,61.38,low_value,519,4,Low Value,0.8
1,2026-07-14,8,91.45125,731.61,at_risk,48,1,Potential Loyalists,130.75
2,2026-06-30,7,53.37285714285714,373.61,low_value,62,1,Potential Loyalists,61.77
3,2025-10-08,2,65.88499999999999,131.76999999999998,low_value,327,4,Low Value,5.0
4,2026-07-29,20,116.273,2325.46,loyal,33,3,Champions,451.72
5,2026-01-29,5,52.25,261.25,low_value,214,2,At Risk,18.57
6,2026-06-22,2,47.855,95.71,low_value,70,2,At Risk,15.14
7,2026-04-25,6,57.025,342.15,low_value,128,2,At Risk,39.21
8,2026-06-30,11,115.06545454545454,1265.72,loyal,62,0,Loyal,209.28
9,2026-06-12,13,58.62230769230769,762.09,new,80,0,Loyal,114.02
10,2026-05-22,9,100.50222222222222,904.52,at_risk,101,0,Loyal,120.42
11,2025-08-18,4,33.26,133.04,low_value,378,4,Low Value,3.8
12,2026-03-29,4,57.0025,228.01,new,155,2,At Risk,22.49
13,2026-01-25,2,66.27,132.54,low_value,218,4,Low Value,9.21
14,2026-04-22,6,78.99499999999999,473.96999999999997,at_risk,131,0,Loyal,53.41
15,2026-07-06,14,109.39214285714286,1531.49,loyal,56,3,Champions,261.8
16,2026-06-22,6,69.96,419.76,new,70,1,Potential Loyalists,66.39
17,2026-08-23,23,178.98347826086956,4116.62,champion,8,3,Champions,918.79
18,2026-07-04,5,50.598,252.99,low_value,58,1,Potential Loyalists,42.77
19,2026-03-28,6,78.36833333333334,470.21000000000004,new,156,0,Loyal,46.12
20,2025-12-22,2,63.345,126.69,low_value,252,4,Low Value,7.29
21,2026-02-26,3,83.95,251.85,at_risk,186,2,At Risk,20.91
22,2026-02-06,1,60.06,60.06,low_value,206,4,Low Value,4.46
23,2025-10-15,2,34.78,69.56,low_value,320,4,Low Value,2.74
24,2026-03-12,5,54.470000000000006,272.35,low_value,172,2,At Risk,24.44
25,2026-07-21,11,123.2209090909091,1355.43,loyal,41,3,Champions,251.84
26,2026-04-30,6,49.99666666666667,299.98,new,123,2,At Risk,35.34
27,2026-08-07,26,182.93192307692306,4756.23,champion,24,3,Champions,971.26
28,2026-05-05,9,118.90777777777778,1070.17,loyal,118,0,Loyal,129.64
29,2025-09-15,3,64.54666666666667,193.64,low_value,350,4,Low Value,6.46
30,2026-05-30,6,32.705,196.23,low_value,93,2,At Risk,27.31
31,2026-02-28,4,58.6375,234.55,low_value,184,2,At Risk,19.69
32,2026-07-19,11,121.00181818181818,1331.02,at_risk,43,3,Champions,244.58
33,2026-08-14,6,113.17166666666667,679.03,at_risk,17,1,Potential Loyalists,144.16
34,2026-07-01,11,69.58727272727273,765.46,new,61,0,Loyal,127.27
35,2026-06-05,14,108.455,1518.37,loyal,87,0,Loyal,218.5
36,2026-08-21,16,101.981875,1631.71,loyal,10,3,Champions,360.16
37,2026-03-09,5,79.236,396.18,new,175,0,Loyal,34.97
38,2026-07-17,10,115.968,1159.68,loyal,45,3,Champions,210.74
39,2026-03-06,3,42.63,127.89,low_value,178,2,At Risk,11.1
40,2026-06-13,4,124.63,498.52,at_risk,79,0,Loyal,75.0
41,2026-02-11,2,44.745000000000005,89.49000000000001,low_value,201,4,Low Value,6.84
42,2026-04-14,6,40.43833333333333,242.63,low_value,139,2,At Risk,26.15
43,2026-06-13,8,92.44125,739.53,at_risk,79,0,Loyal,111.26
44,2025-08-12,1,30.54,30.54,low_value,384,4,Low Value,0.84
45,2025-10-22,3,42.60333333333333,127.81,low_value,313,4,Low Value,5.24
46,2026-08-10,9,117.22999999999999,1055.07,at_risk,21,3,Champions,219.07
47,2026-07-15,15,113.67733333333334,1705.16,loyal,47,3,Champions,306.44
48,2026-04-27,7,42.51142857142857,297.58,low_value,126,2,At Risk,34.48
49,2026-06-24,10,96.497,964.97,loyal,68,0,Loyal,154.32
50,2026-06-05,14,120.23428571428572,1683.28,loyal,87,0,Loyal,242.23
51,2026-08-08,22,171.56272727272727,3774.38,champion,23,3,Champions,775.05
52,2026-07-03,5,38.382,191.91,low_value,59,2,At Risk,32.26
53,2026-01-14,1,24.61,24.61,low_value,229,4,Low Value,1.61
54,2025-08-31,1,49.31,49.31,low_value,365,4,Low Value,1.51
55,2025-04-29,1,45.6,45.6,low_value,489,4,Low Value,0.7
56,2026-08-06,7,76.55285714285715,535.87,new,25,1,Potential Loyalists,108.82
57,2026-05-07,9,73.42888888888889,660.86,new,116,0,Loyal,80.95
58,2026-05-22,16,120.415625,1926.65,loyal,101,0,Loyal,256.5
